,Weight_AMXB.MX,Weight_AXIA3.SA,Weight_BBAS3.SA,Weight_BIMBOA.MX,Weight_BSAC,Weight_CEMEXCPO.MX,Weight_CENCOSUD.SN,Weight_CIB,Weight_FEMSAUBD.MX,Weight_GCARSOA1.MX,Weight_GGB,Weight_ISA.CL,Weight_PAC,Weight_PBR,Weight_RENT3.SA,Weight_SCCO,Weight_SQM,Weight_VALE,Weight_VIV,Weight_WALMEX.MX,Weight_WEGE3.SA,daily_ret
2007-07-27,0.1161108911037445,3.2902651582844555e-05,0.00010036105959443375,0.04878094792366028,0.0005610671942122281,6.504065822809935e-05,0.1036565899848938,0.0006599515909329057,0.008572857826948166,0.5511198043823242,0.0007922275108285248,0.0022633683402091265,0.0008174893446266651,3.8353464333340526e-05,0.0017226797062903643,0.10023300349712372,0.0004442662466317415,0.0001151235555880703,0.0002234925195807591,0.00022010736574884504,0.06346951425075531,0.002940687047740885
2007-07-30,0.11633121222257614,3.36821613018401e-05,0.00010245227167615667,0.05028444528579712,0.0005810402799397707,6.675959593849257e-05,0.10461735725402832,0.0006646562833338976,0.008688586764037609,0.546084463596344,0.0008038416272029281,0.0023287716321647167,0.0008488146122545004,3.953760824515484e-05,0.0017859942745417356,0.10227091610431671,0.00045338241034187376,0.00011793363955803216,0.00022695977531839162,0.00022517680190503597,0.06344404816627502,-0.007795811096820978
2007-07-31,0.11722752451896667,3.3767049899324775e-05,0.00010345396003685892,0.050693362951278687,0.0005866836872883141,6.741758988937363e-05,0.10507373511791229,0.0006631094729527831,0.008727842941880226,0.5434107184410095,0.0008068764582276344,0.0023315264843404293,0.0008550782222300768,3.9784459659131244e-05,0.001800306374207139,0.10298709571361542,0.0004585375136230141,0.00011808505223598331,0.00022760445426683873,0.00022582073870580643,0.06356170773506165,-0.003520993274244178
2007-08-01,0.11756869405508041,3.423344242037274e-05,0.00010491159628145397,0.05130747705698013,0.0005966020980849862,6.850852514617145e-05,0.10550880432128906,0.0006656828918494284,0.00878889113664627,0.5407240986824036,0.0008135073585435748,0.002356181386858225,0.0008707414963282645,4.043873195769265e-05,0.0018309325678274035,0.10405019670724869,0.00046496978029608727,0.0001195325021399185,0.00022969780548010021,0.0002285482332808897,0.06362733989953995,-0.009222050904771975
2007-08-02,0.11748211830854416,3.495876808301546e-05,0.0001069124264176935,0.052723709493875504,0.000616427802015096,7.017255120445043e-05,0.10630995035171509,0.0006699453806504607,0.008887458592653275,0.5364254713058472,0.000823338283225894,0.002421996556222439,0.0009023016900755465,4.159481977694668e-05,0.001893119071610272,0.10596030205488205,0.00047358477604575455,0.00012207722465973347,0.00023280378081835806,0.00023360419436357915,0.06356804072856903,0.005031128325202546
2007-08-03,0.11787620186805725,3.527957960614003e-05,0.00010820442548720166,0.053430650383234024,0.0006265720003284514,7.120516238501295e-05,0.10671456903219223,0.0006692999158985913,0.008935632184147835,0.5334272384643555,0.000828874995931983,0.0024487972259521484,0.0009196113678626716,4.221773269819096e-05,0.0019288929179310799,0.10723456740379333,0.0004795783606823534,0.0001230547350132838,0.0002343007072340697,0.00023578910622745752,0.06362937390804291,-0.011762842012875226
2007-08-06,0.11777370423078537,3.582771387300454e-05,0.00011006083514075726,0.054728057235479355,0.0006449779029935598,7.268363697221503e-05,0.10742826014757156,0.0006714111077599227,0.00901234894990921,0.5295301675796509,0.0008355171885341406,0.0025060016196221113,0.0009493508259765804,4.31998741987627e-05,0.001987210940569639,0.1090061366558075,0.00048785647959448397,0.0001249303895747289,0.00023670839436817914,0.00024010286142583936,0.06357551366090775,-0.004288346135693176
2007-08-07,0.1177627369761467,3.648204801720567e-05,0.00011271049152128398,0.057286735624074936,0.0006789289764128625,7.489337440347299e-05,0.10878778994083405,0.0006739157252013683,0.009140758775174618,0.5223621129989624,0.000842966022901237,0.002602038672193885,0.0009994786232709885,4.472142973099835e-05,0.002087477594614029,0.11195332556962967,0.0005014572525396943,0.0001271802611881867,0.00023972611234057695,0.00024619634496048093,0.06343839317560196,-0.004748102732862752
2007-08-08,0.11849631369113922,3.667756755021401e-05,0.0001141155298682861,0.05831346660852432,0.0006926043424755335,7.606737199239433e-05,0.10930003225803375,0.000671908725053072,0.009198597632348537,0.5182172656059265,0.0008462245459668338,0.002623386215418577,0.0010204525897279382,4.5396223868010566e-05,0.0021333112381398678,0.11357184499502182,0.000509567151311785,0.00012755676289089024,0.000240855646552518,0.0002478735405020416,0.0635165125131607,-0.012108493542695272
2007-08-09,0.11939718574285507,3.660333823063411e-05,0.00011442891991464421,0.05793984234333038,0.0006883986061438918,7.611749606439844e-05,0.10924899578094482,0.0006697168573737144,0.00920057762414217,0.517657995223999,0.0008464083657599986,0.0025884255301207304,0.001012939028441906,4.5235447032609954e-05,0.00212110741995275,0.11354395747184753,0.0005114292725920677,0.00012694788165390491,0.00024065376783255488,0.00024660659255459905,0.06368650496006012,7.814143553743836e-05
