,Weight_AMXB.MX,Weight_AXIA3.SA,Weight_BBAS3.SA,Weight_BIMBOA.MX,Weight_BSAC,Weight_CEMEXCPO.MX,Weight_CENCOSUD.SN,Weight_CIB,Weight_FEMSAUBD.MX,Weight_GCARSOA1.MX,Weight_GGB,Weight_ISA.CL,Weight_PAC,Weight_PBR,Weight_RENT3.SA,Weight_SCCO,Weight_SQM,Weight_VALE,Weight_VIV,Weight_WALMEX.MX,Weight_WEGE3.SA,daily_ret
2007-07-27,0.08890644460916519,7.436280611727852e-06,3.0152918043313548e-05,0.019622106105089188,0.00012548459926620126,2.1260555513435975e-05,0.0789327546954155,9.25441927392967e-05,0.002439073985442519,0.7178388237953186,0.00016501436766702682,0.0006346756708808243,0.00017284734349232167,2.9816748792654835e-05,0.0007372692343778908,0.0486876405775547,8.569172496208921e-05,2.08475084946258e-05,3.901697346009314e-05,0.0003449732612352818,0.041066043078899384,0.0016430419202869175
2007-07-30,0.09077034890651703,7.759897926007397e-06,3.127599848085083e-05,0.020023465156555176,0.00012997312296647578,2.2004156562616117e-05,0.0803261324763298,9.445235627936199e-05,0.002497419249266386,0.7123393416404724,0.00017031545576173812,0.0006431991350837052,0.00017737117013894022,3.0842656997265294e-05,0.0007554419571533799,0.04980308562517166,8.80638908711262e-05,2.1688603737857193e-05,4.0171125874621794e-05,0.0003530314425006509,0.04167461767792702,-0.005736295921075465
2007-07-31,0.09164196252822876,7.782771717756987e-06,3.160459891660139e-05,0.020041456446051598,0.00012965165660716593,2.2240088583203033e-05,0.08126867562532425,9.426134784007445e-05,0.0025098177138715982,0.7095657587051392,0.00017167552141472697,0.00064209004631266,0.0001781214668881148,3.088555240537971e-05,0.0007608823361806571,0.050470467656850815,8.90326700755395e-05,2.170249354094267e-05,4.023148358101025e-05,0.0003500165475998074,0.041931625455617905,-0.001634016917503156
2007-08-01,0.09177206456661224,7.832038136257324e-06,3.18518650601618e-05,0.0200972780585289,0.00013073044829070568,2.238162051071413e-05,0.08154177665710449,9.471232624491677e-05,0.0025192908942699432,0.7087817788124084,0.00017270873649977148,0.0006436093826778233,0.0001795050920918584,3.10295945382677e-05,0.00076613127021119,0.05065613240003586,8.983241423266008e-05,2.1808236851939e-05,4.0496084693586454e-05,0.0003510479291435331,0.04204801097512245,-0.0054223245440519156
2007-08-02,0.09256329387426376,8.044245078053791e-06,3.259949153289199e-05,0.020372582599520683,0.0001339637819910422,2.282179229950998e-05,0.08236721903085709,9.605244849808514e-05,0.002553782658651471,0.7059193849563599,0.00017590911011211574,0.0006507142097689211,0.00018278573406860232,3.169574119965546e-05,0.0007786851492710412,0.05124485492706299,9.146903903456405e-05,2.235435567854438e-05,4.129553781240247e-05,0.0003574006259441376,0.04235310107469559,0.0035329967677570117
2007-08-03,0.09325365722179413,8.073766366578639e-06,3.2912845199462026e-05,0.020444149151444435,0.00013414365821518004,2.301651875313837e-05,0.08317997306585312,9.593673166818917e-05,0.0025660956744104624,0.7035704255104065,0.00017718871822580695,0.0006516050198115408,0.00018353405175730586,3.177610051352531e-05,0.0007834449061192572,0.051815055310726166,9.22313702176325e-05,2.242222944914829e-05,4.1387676901649684e-05,0.0003556954034138471,0.042537301778793335,-0.0071040185095919035
2007-08-06,0.09388043731451035,8.229542800108902e-06,3.3544925827300176e-05,0.02065555937588215,0.0001365706411888823,2.3368960683001205e-05,0.08397192507982254,9.688400314189494e-05,0.0025925638619810343,0.7010458707809448,0.00017974057118408382,0.000657221709843725,0.00018631866259966046,3.224473766749725e-05,0.0007942309603095055,0.05238446965813637,9.372756903758273e-05,2.282093555550091e-05,4.1988860175479203e-05,0.00035949432640336454,0.0428028330206871,-0.0020692589393618735
2007-08-07,0.09541107714176178,8.4961429820396e-06,3.463162647676654e-05,0.021057315170764923,0.00014054932398721576,2.3992952264961787e-05,0.08552630990743637,9.83225108939223e-05,0.0026402599178254604,0.6959502696990967,0.00018399763212073594,0.0006649504648521543,0.00019026118388865143,3.304756319266744e-05,0.0008104907465167344,0.05340864136815071,9.609186963643879e-05,2.3494421839131974e-05,4.2897761886706576e-05,0.0003660373040474951,0.04328882321715355,-0.0021491209173370236
2007-08-08,0.09618911147117615,8.53063102113083e-06,3.4976885217474774e-05,0.021115582436323166,0.00014082490815781057,2.4209073671954684e-05,0.0863671824336052,9.832344221649691e-05,0.0026528339367359877,0.693457841873169,0.0001852977293310687,0.0006634374731220305,0.0001911492581712082,3.311858017696068e-05,0.0008161385194398463,0.053990766406059265,9.712439350550994e-05,2.353527997911442e-05,4.3007377826143056e-05,0.00036409476888366044,0.043503016233444214,-0.00840530343650575
2007-08-09,0.09638549387454987,8.457254807581194e-06,3.4905493521364406e-05,0.02102852798998356,0.00013938211486674845,2.4166434741346166e-05,0.0867742970585823,9.772194607648998e-05,0.002646419685333967,0.6926829218864441,0.00018470588838681579,0.0006576775922439992,0.00019063834042754024,3.285234561190009e-05,0.0008161066798493266,0.05421126261353493,9.738497465150431e-05,2.329646667931229e-05,4.2747942643472925e-05,0.0003589070402085781,0.04356200993061066,-0.0010496579261727195
