Date,Open,High,Low,Close,Volume
7/16/2010 16:00:00,4251.01,4257.31,4196.4,4198.32,0
7/19/2010 16:00:00,4198.21,4250.53,4195.74,4241.34,0
7/20/2010 16:00:00,4240.8,4356.1,4218.55,4354.37,0
7/21/2010 16:00:00,4358.97,4404.8,4321.21,4348.2,0
7/22/2010 16:00:00,4357.81,4493.33,4357.49,4482.36,0
7/23/2010 16:00:00,4482.56,4502.58,4442.87,4502.25,0
7/27/2010 16:00:00,4523.21,4548.83,4479.64,4485.2,0
7/28/2010 16:00:00,4486.08,4534.11,4476.44,4504.74,0
7/29/2010 16:00:00,4513.23,4554.5,4472.05,4502.74,0
7/30/2010 16:00:00,4497.59,4541.04,4454.58,4535.38,0
8/2/2010 16:00:00,4536.08,4630.21,4536.08,4623.52,0
8/3/2010 16:00:00,4622.23,4622.5,4566.48,4591.85,0
8/4/2010 16:00:00,4595.63,4612.31,4559.15,4603.61,0
8/5/2010 16:00:00,4606.26,4610.23,4584.5,4604.49,0
8/6/2010 16:00:00,4600.49,4609.69,4550.81,4579.85,0
8/9/2010 16:00:00,4585.37,4612.64,4584.34,4599.5,0
8/10/2010 16:00:00,4588.03,4588.03,4519.71,4558.35,0
8/11/2010 16:00:00,4546.13,4546.38,4377.15,4416.46,0
8/12/2010 16:00:00,4410.63,4446.17,4370.49,4432.12,0
8/13/2010 16:00:00,4436.16,4479.87,4434.83,4455.7,0
8/16/2010 16:00:00,4461.42,4515.1,4449.93,4512.93,0
8/17/2010 16:00:00,4521.52,4574.79,4521.1,4553.4,0
8/18/2010 16:00:00,4562.77,4571.36,4535.81,4561.44,0
8/19/2010 16:00:00,4559.81,4560.33,4473.28,4494.58,0
8/20/2010 16:00:00,4486.69,4492.13,4440.27,4491.11,0
8/23/2010 16:00:00,4488.72,4515.38,4423.79,4424.04,0
8/24/2010 16:00:00,4415.36,4415.36,4328.69,4349.26,0
8/25/2010 16:00:00,4336.4,4340.9,4269.28,4329.39,0
8/26/2010 16:00:00,4336.38,4371.56,4288.08,4290.7,0
8/27/2010 16:00:00,4296.39,4418.55,4295.29,4417.63,0
8/30/2010 16:00:00,4413.49,4413.65,4329.61,4329.86,0
8/31/2010 16:00:00,4324.48,4401.17,4324.48,4400.2,0
9/1/2010 16:00:00,4405.67,4554.83,4405.67,4548.49,0
9/2/2010 16:00:00,4550.87,4573.66,4535.61,4573.31,0
9/3/2010 16:00:00,4582.62,4646.44,4581.94,4601.01,0
9/6/2010 16:00:00,4604.54,4609.24,4591.96,4605.29,0
9/7/2010 16:00:00,4599.09,4599.89,4531.92,4537.79,0
9/8/2010 16:00:00,4541.48,4590.67,4540.71,4566.43,0
9/9/2010 16:00:00,4573.17,4605.23,4555.67,4579.91,0
9/10/2010 16:00:00,4583.51,4600.08,4576.89,4592.9,0
9/13/2010 16:00:00,4597.52,4701.48,4597.39,4700.82,0
9/14/2010 16:00:00,4701.02,4741,4682.58,4701.18,0
9/15/2010 16:00:00,4699.1,4700.11,4660.69,4698.86,0
9/16/2010 16:00:00,4694.17,4702.8,4676.92,4702.41,0
9/17/2010 16:00:00,4702.15,4721.1,4667.97,4679.49,0
9/20/2010 16:00:00,4680.83,4717.2,4666.83,4712.44,0
9/21/2010 16:00:00,4716.86,4719.85,4664.38,4708.64,0
9/22/2010 16:00:00,4716.46,4760.29,4708.08,4722.53,0
9/23/2010 16:00:00,4722.26,4790.43,4696.59,4739.88,0
9/24/2010 16:00:00,4749.05,4806.78,4739.96,4759.26,0
9/27/2010 16:00:00,4764.6,4803.83,4748.9,4787.35,0
9/28/2010 16:00:00,4790.36,4847.44,4765.57,4841.73,0
9/29/2010 16:00:00,4846.2,4876.5,4837.26,4856.66,0
9/30/2010 16:00:00,4858.01,4924.48,4857.21,4923.35,0
10/1/2010 16:00:00,4928.51,4995.05,4927.7,4984.23,0
10/4/2010 16:00:00,4976.97,4985.98,4929.11,4956.37,0
