,Weight_AMXB.MX,Weight_AXIA3.SA,Weight_BBAS3.SA,Weight_BIMBOA.MX,Weight_BSAC,Weight_CEMEXCPO.MX,Weight_CENCOSUD.SN,Weight_CIB,Weight_FEMSAUBD.MX,Weight_GCARSOA1.MX,Weight_GGB,Weight_ISA.CL,Weight_PAC,Weight_PBR,Weight_RENT3.SA,Weight_SCCO,Weight_SQM,Weight_VALE,Weight_VIV,Weight_WALMEX.MX,Weight_WEGE3.SA,daily_ret
2007-07-27,0.020603103563189507,9.272433999285568e-06,2.975963980134111e-05,0.09029088914394379,0.002252515172585845,4.125495979678817e-05,0.488032728433609,0.0013105656253173947,0.0002615599660202861,0.35348761081695557,0.00043610463035292923,0.0005034901550970972,0.00046382207074202597,2.815928564814385e-05,0.00030193960992619395,0.01206133421510458,7.068611012073234e-05,1.3026453416387085e-05,0.000898942758794874,7.307997293537483e-05,0.028830207884311676,0.0017387103431230951
2007-07-30,0.025740742683410645,1.1794970305345487e-05,4.458109106053598e-05,0.13745629787445068,0.0035176044330000877,6.0762777138734236e-05,0.2958256006240845,0.0012939228909090161,0.00039151805685833097,0.4568420648574829,0.0007431202102452517,0.0007094884058460593,0.0006859944551251829,4.215776425553486e-05,0.00045660531031899154,0.03234563395380974,0.00011757903848774731,2.5927058231900446e-05,0.0008867087308317423,9.827478788793087e-05,0.04270360246300697,-0.0070965829033124645
2007-07-31,0.010009769350290298,1.2741091268253513e-05,6.209052662597969e-05,0.31247830390930176,0.0053272489458322525,0.00010330254735890776,0.028522124513983727,0.00048382682143710554,0.0003700531378854066,0.2708747088909149,0.001811894355341792,0.007540109101682901,0.00385299907065928,6.170983397169039e-05,0.0017724174540489912,0.3232070803642273,0.00021795963402837515,0.00010992566240020096,0.00042354525066912174,0.00017054365889634937,0.032587628811597824,-0.012799764788932605
2007-08-01,0.0074568092823028564,0.00014611906954087317,9.291144669987261e-05,0.02958066761493683,0.0008102338179014623,0.0002931156777776778,0.010483319871127605,0.0005898608360439539,0.0005874743219465017,0.20980213582515717,0.014171008951961994,0.0035788794048130512,0.09151721000671387,0.0004869980039075017,0.01689215563237667,0.5754008293151855,0.0005008879816159606,0.00028431075043044984,0.0009008042397908866,0.0006495530251413584,0.03577478975057602,-0.029100702169851212
2007-08-02,0.03724616765975952,0.0006393797229975462,0.00031224111444316804,0.04858645796775818,0.002697189338505268,0.0007491287542507052,0.07218357920646667,0.0028954918961972,0.0019112807931378484,0.4711093008518219,0.024001583456993103,0.003042536787688732,0.06665962934494019,0.0014762148493900895,0.01976592093706131,0.16898059844970703,0.001300936215557158,0.0004574941413011402,0.004063063766807318,0.001548298168927431,0.07037349045276642,0.0024891220707762628
2007-08-03,0.023224130272865295,0.0002612459356896579,0.00029118810198269784,0.03674619644880295,0.0014517629751935601,0.0009234531316906214,0.013598489575088024,0.0005034910282120109,0.0012616143794730306,0.1691700518131256,0.021727466955780983,0.004974460694938898,0.033916838467121124,0.0008428584551438689,0.01103630755096674,0.6460223197937012,0.0009798802202567458,0.0005444965208880603,0.0009844033047556877,0.000885898363776505,0.030653446912765503,-0.03861423268454565
2007-08-06,0.07561121135950089,0.0010205958969891071,0.0006435337127186358,0.06418740749359131,0.004626911133527756,0.0017712028929963708,0.12475661188364029,0.002399778924882412,0.0033729146234691143,0.3951219916343689,0.031114811077713966,0.004619316663593054,0.0535435751080513,0.002760843373835087,0.017693502828478813,0.13973002135753632,0.0016697982791811228,0.0006585158407688141,0.004271429963409901,0.002402437385171652,0.06802361458539963,-0.007038082851625311
2007-08-07,0.07534775882959366,0.00011381995136616752,0.00019910155970137566,0.15097667276859283,0.0051499041728675365,0.00034010541276074946,0.31014519929885864,0.0008355886675417423,0.00130064832046628,0.35737860202789307,0.004804318770766258,0.0015558601589873433,0.004014208912849426,0.0002919344697147608,0.0024956613779067993,0.05063943937420845,0.00032878623460419476,0.00012171114212833345,0.0015603172359988093,0.0005221327301114798,0.03187822550535202,0.0015468078882168272
2007-08-08,0.03922368586063385,7.487038237741217e-05,0.0001961725065484643,0.2628362476825714,0.006650893017649651,0.0004678018158301711,0.07550983130931854,0.00042305144597776234,0.0012630642158910632,0.265002965927124,0.005957842338830233,0.005023411475121975,0.006920443382114172,0.000330583454342559,0.0033754778560250998,0.29357439279556274,0.00041362049523741007,0.0002611558884382248,0.0006738157826475799,0.0005591344670392573,0.03126148879528046,-0.013579339843607046
2007-08-09,0.0065248217433691025,6.389083864632994e-05,8.434909250354394e-05,0.03193182498216629,0.0006834997911937535,0.0003614501911215484,0.004824806470423937,0.000170555678778328,0.0004673802759498358,0.09327100962400436,0.008849771693348885,0.004004582297056913,0.025092357769608498,0.0003598929033614695,0.007332005072385073,0.8011659383773804,0.0003370998310856521,0.0002503640134818852,0.00024356809444725513,0.00032411093707196414,0.013656672090291977,0.025731051255137586
