Date,Price_AMXB.MX,Price_AXIA3.SA,Price_BBAS3.SA,Price_BIMBOA.MX,Price_BSAC,Price_CEMEXCPO.MX,Price_CENCOSUD.SN,Price_CIB,Price_FEMSAUBD.MX,Price_GCARSOA1.MX,Price_GGB,Price_ISA.CL,Price_PAC,Price_PBR,Price_RENT3.SA,Price_SCCO,Price_SQM,Price_VALE,Price_VIV,Price_WALMEX.MX,Price_WEGE3.SA,LogRet_AMXB.MX,LogRet_AXIA3.SA,LogRet_BBAS3.SA,LogRet_BIMBOA.MX,LogRet_BSAC,LogRet_CEMEXCPO.MX,LogRet_CENCOSUD.SN,LogRet_CIB,LogRet_FEMSAUBD.MX,LogRet_GCARSOA1.MX,LogRet_GGB,LogRet_ISA.CL,LogRet_PAC,LogRet_PBR,LogRet_RENT3.SA,LogRet_SCCO,LogRet_SQM,LogRet_VALE,LogRet_VIV,LogRet_WALMEX.MX,LogRet_WEGE3.SA,TEMA_AMXB.MX,TEMA_AXIA3.SA,TEMA_BBAS3.SA,TEMA_BIMBOA.MX,TEMA_BSAC,TEMA_CEMEXCPO.MX,TEMA_CENCOSUD.SN,TEMA_CIB,TEMA_FEMSAUBD.MX,TEMA_GCARSOA1.MX,TEMA_GGB,TEMA_ISA.CL,TEMA_PAC,TEMA_PBR,TEMA_RENT3.SA,TEMA_SCCO,TEMA_SQM,TEMA_VALE,TEMA_VIV,TEMA_WALMEX.MX,TEMA_WEGE3.SA,HLC3_AMXB.MX,HLC3_AXIA3.SA,HLC3_BBAS3.SA,HLC3_BIMBOA.MX,HLC3_BSAC,HLC3_CEMEXCPO.MX,HLC3_CENCOSUD.SN,HLC3_CIB,HLC3_FEMSAUBD.MX,HLC3_GCARSOA1.MX,HLC3_GGB,HLC3_ISA.CL,HLC3_PAC,HLC3_PBR,HLC3_RENT3.SA,HLC3_SCCO,HLC3_SQM,HLC3_VALE,HLC3_VIV,HLC3_WALMEX.MX,HLC3_WEGE3.SA,OBV_AMXB.MX,OBV_AXIA3.SA,OBV_BBAS3.SA,OBV_BIMBOA.MX,OBV_BSAC,OBV_CEMEXCPO.MX,OBV_CENCOSUD.SN,OBV_CIB,OBV_FEMSAUBD.MX,OBV_GCARSOA1.MX,OBV_GGB,OBV_ISA.CL,OBV_PAC,OBV_PBR,OBV_RENT3.SA,OBV_SCCO,OBV_SQM,OBV_VALE,OBV_VIV,OBV_WALMEX.MX,OBV_WEGE3.SA
2006-02-28,5.458439826965332,10.253314971923828,2.870403528213501,7.526618480682373,6.898953437805176,20.75100517272949,674.0465698242188,11.027107238769531,19.467140197753903,5.980655193328857,3.057236433029175,2971.20947265625,11.105401992797852,4.739439010620117,2.327582836151123,5.212121486663818,5.866036415100098,3.8396730422973633,5.225457668304443,9.05610466003418,0.7304647564888,-0.008253391623859348,0.0,0.0,-0.016038615141108527,-0.018773803307740353,-0.0175643079667789,-0.0032449439160533097,-0.00547037870274373,-0.00165866244997415,0.0,-0.0021895255954831098,0.00507180666886005,-0.0051948765000293575,-0.01192361111499938,0.0,0.014798068132366348,-0.0020438424111501835,-0.022994420773481104,0.0042621763565429535,-0.005654258374487726,0.0,5.498560861748897,10.253314971923828,2.870403528213501,7.634545920824415,7.014910244404129,21.07711772644213,675.9896003830183,11.08075419936113,19.495801644268063,5.980655193328857,3.0631797966393193,2957.87816319571,11.156701803708856,4.789859169038213,2.327582836151123,5.144218657859004,5.876680633174154,3.918886172193699,5.205746685905635,9.101647822034858,0.7304647564888,8.613452911376953,22.62983512878418,9.09333324432373,9.259166717529297,18.364102045694988,22.798938751220703,1201.7617594401042,32.823333740234375,30.022221883138016,13.62082576751709,6.012345631917317,5920.0,28.599999745686848,21.87250010172526,3.467813014984131,12.403118133544922,11.918208122253418,11.692499796549479,23.463333129882812,14.929999669392904,1.1094670295715332,-96274.0,0.0,0.0,-5530080.0,-151840.0,-19891918.0,-3399761.0,-261400.0,-2231973.0,0.0,-2781702.0,756400.0,-1837800.0,-7704000.0,0.0,14667568.0,-298857.0,-10209200.0,47900.0,-31648920.0,0.0
2006-03-01,5.61827278137207,10.459331512451172,2.9551055431365967,7.719295024871826,6.973041534423828,21.01319122314453,679.1400146484375,11.17498016357422,19.73210334777832,5.980655193328857,3.204669952392578,3011.2919921875,11.529563903808594,4.991732597351074,2.41735315322876,5.284102916717529,5.806032657623291,3.969508171081543,5.347700595855713,9.131621360778809,0.7304647564888,0.02886127944670258,0.019893482457959796,0.029081744964771828,0.025277173847357275,0.010681780266300029,0.012555706437994989,0.007528110221416842,0.013320829588818283,0.013518994832859657,0.0,0.047097724658434884,0.013400120181787909,0.037482854873125,0.05186428688367884,0.03784288354625644,0.013715895496783643,-0.01028168796820075,0.03325498290759033,0.02312428731743591,0.008304186529306805,0.0,5.511916849364352,10.276614156558635,2.8799827973322896,7.643639089251894,7.009647168375219,21.068403149206272,676.3370453653577,11.091166296902253,19.522395387567144,5.980655193328857,3.079154388048279,2963.97963527997,11.198636596057993,4.812460215361756,2.3377352986037154,5.1603478763345025,5.868642321838911,3.92425052298531,5.221890536991867,9.104830270402292,0.7304647564888,8.808923721313477,22.859681447347004,9.341666221618652,9.443333625793457,18.461538314819336,23.064751307169598,1208.3062744140625,33.289999643961586,30.39666620890299,13.62082576751709,6.211640357971191,6010.0,29.846666336059574,22.744999567667644,3.5773566563924155,12.647964795430502,11.811749458312988,11.918333371480307,23.9499994913737,15.076666514078775,1.1094670295715332,-41110.0,739.0,3508200.0,-1573484.0,267800.0,9331776.0,-1869260.0,60900.0,-775500.0,0.0,1118502.0,1063700.0,-233000.0,660000.0,16590241.0,25958804.0,-557661.0,3516400.0,146000.0,-7639846.0,0.0
2006-03-02,5.612241744995117,10.187662124633787,2.9214348793029785,7.72740888595581,6.9585137367248535,20.882099151611328,678.0447998046875,11.49763011932373,19.81612205505371,5.980655193328857,3.333337545394897,2981.23046875,11.683807373046877,5.020427227020264,2.400682210922241,5.491541385650635,5.806032657623291,3.9662017822265625,5.427720546722412,9.22526741027832,0.7304647564888,-0.0010740446383935283,-0.026317155136194995,-0.01145947441194643,0.0010505622270075218,-0.0020855967165475816,-0.006258101958447904,-0.001613951275942426,0.02846357212556405,0.004248930657270966,0.0,0.0393649618463464,-0.010033095681043434,0.01328938717621926,0.005731971669888247,-0.0069202517529445935,0.038506115011016,0.0,-0.0008332938239321881,0.014852583640273781,0.010202912164579882,0.0,5.523562136575893,10.267386204262925,2.8850128255430816,7.652959479463048,7.003162640477476,21.04557737738296,676.5339801102434,11.137268941432298,19.556436670846832,5.980655193328857,3.1084450062030484,2966.20752974499,11.254776516646544,4.8365636483601575,2.345216725526965,5.198680565891162,5.8612273707174705,3.9288355617342887,5.245832416078794,9.11836282858778,0.7304647564888,8.875670115152994,22.63483238220215,9.317221959431967,9.494999885559082,18.36923090616862,22.98746617635091,1208.9574788411458,34.22999954223633,30.682222366333008,13.62082576751709,6.524691263834636,5990.0,30.229999542236328,23.100833892822266,3.5869100093841553,13.100353558858236,11.787406921386719,11.978333155314127,24.383333206176758,15.201666831970215,1.1094670295715332,-75718.0,-541.0,-723600.0,-129016.0,191620.0,-22872.0,-2467947.0,873300.0,3775125.0,0.0,7651854.0,494500.0,398800.0,8163200.0,2863960.0,36724114.0,-557661.0,-7084400.0,182400.0,5240860.0,0.0
2006-03-03,5.609225749969482,10.119744300842283,2.946688652038574,7.646283149719238,6.928007125854492,21.06435203552246,695.571044921875,11.420328140258787,19.757959365844727,5.980655193328857,3.3467416763305664,2916.09423828125,11.433164596557615,5.025842666625977,2.426971435546875,5.592970848083496,5.7753095626831055,3.961239814758301,5.367710113525391,9.216203689575195,0.7304647564888,-0.0005375402280691867,-0.006688995689914445,0.008607156446892125,-0.010553937085084874,-0.004393708150358673,0.008689842674604318,0.025519793401442416,-0.006745999913896108,-0.0029394355597987206,0.0,0.004013170646878872,-0.022090992991413348,-0.021685590925654384,0.0010780996703400035,0.010891205713874967,0.01830162508258003,-0.0053056314935310545,-0.0012518460225927404,-0.011117861477896368,-0.000982971627789837,0.0,5.533957103824071,10.251168805544435,2.8925004041515283,7.6523880217463045,6.993748864205072,21.045177358468607,678.6976827559405,11.171057945835424,19.58124360496139,5.980655193328857,3.1369701766040654,2960.8890235212357,11.278191600148906,4.85939854318261,2.3550825496815335,5.245494148805406,5.850920678023514,3.93250898553918,5.261116780411623,9.129825526575312,0.7304647564888,8.867725372314453,22.368343989054363,9.239444414774576,9.412500063578287,18.394872029622398,23.065922419230144,1232.0751953125,34.16999944051107,30.63444455464681,13.62082576751709,6.582010428110759,5856.666666666667,29.77666664123535,23.18250020345052,3.6267150243123374,13.422962506612143,11.71048355102539,11.919166564941406,24.136666615804035,15.234999974568685,1.1094670295715332,-98580.0,-1672.0,2095200.0,-2647956.0,8580.0,6300503.0,233107.0,508100.0,1392729.0,0.0,11333196.0,123400.0,-327300.0,13733200.0,9986175.0,45074858.0,-631605.0,-16398000.0,151500.0,-11601146.0,0.0
2006-03-06,5.729854106903076,9.75751781463623,2.893552541732788,7.4394073486328125,6.727531909942627,20.885297775268555,710.0850830078125,10.687651634216309,19.566234588623047,5.980655193328857,3.214051485061645,2805.864013671875,11.221081733703612,4.848261833190918,2.5007100105285645,5.346924304962158,5.692263603210449,3.850423574447632,5.316587448120117,9.05610466003418,0.7304647564888,0.02127737160219721,-0.03645035101619111,-0.018197048646713825,-0.027428478756727173,-0.029363853000997656,-0.008536679015921896,0.02065164251098361,-0.06630591547898944,-0.009751060458678082,0.0,-0.04045495240482253,-0.03853361347016468,-0.018724000425484305,-0.035972878931786766,0.029930538537980673,-0.044989104288286334,-0.014483868568339173,-0.028373899215521203,-0.009569755103086471,-0.01752412706609684,0.0,5.557170842814481,10.19522773504723,2.893385284544569,7.628459577058331,6.962415996345051,21.024627111924758,682.3351037233241,11.119323040387865,19.582393374345127,5.980655193328857,3.14823882310388,2943.506256065656,11.27572171305486,4.860344400015586,2.3725074616808364,5.2607984665432825,5.832035601580904,3.9233653688822305,5.269396021424199,9.122284286365241,0.7304647564888,9.055249532063803,21.833702087402344,9.189444224039713,9.231666882832846,17.948718388875324,23.110418955485027,1258.90478515625,32.393333435058594,30.53666623433431,13.62082576751709,6.396825472513835,5666.666666666667,29.366666793823242,22.6733341217041,3.700274626413981,13.102454821268717,11.589743614196777,11.71833324432373,23.953332901000977,15.106666564941406,1.1094670295715332,104876.0,-2446.0,-1242000.0,-3794204.0,-301860.0,-7513222.0,1876937.0,-162400.0,-905037.0,0.0,6690978.0,-169300.0,-804700.0,4062400.0,21055756.0,33663719.0,-926354.0,-28851200.0,74900.0,-37597950.0,0.0
2006-03-07,5.425266742706299,9.508481979370115,2.846203088760376,7.147348403930664,6.601146221160889,20.27779769897461,698.3094482421875,10.418780326843262,19.075090408325195,5.980655193328857,3.084040403366089,2805.864013671875,11.201801300048828,4.65877103805542,2.5007100105285645,5.194454193115234,5.568413734436035,3.699913501739502,5.165450096130371,8.959442138671875,0.7304647564888,-0.05462300174883387,-0.02585380561302463,-0.016499143916590752,-0.04004975290437582,-0.018965042990905963,-0.029518877599880103,-0.01672245796925378,-0.02547904385155261,-0.025422038785803864,0.0,-0.04129172960863009,0.0,-0.0017197109200840497,-0.039868568188457354,0.0,-0.02892994417676452,-0.021997764305508264,-0.03987372011638817,-0.028839398145930038,-0.01073111463703776,0.0,5.544112484396727,10.115454112192193,2.888825919651657,7.573348610392069,6.919247891416965,20.93703039539969,684.3569189157487,11.041104418686487,19.52783143286026,5.980655193328857,3.143862704433082,2927.464506299529,11.271153950209904,4.839726942257738,2.3885579519833366,5.257570877072618,5.800630931774776,3.8979039009842427,5.259887291848871,9.104373175526487,0.7304647564888,8.58643658955892,21.15082613627116,9.077777544657389,8.920833587646484,17.512820561726887,22.39729372660319,1247.3459065755208,31.049999872843426,29.70111083984375,13.62082576751709,6.0529100100199384,5603.333333333333,29.046666463216145,21.52583376566569,3.6779839992523193,12.577033042907715,11.368387222290039,11.1866668065389,23.420000076293945,14.741666475931803,1.1094670295715332,421.0,-4864.0,-7185600.0,-12954824.0,-728000.0,-35506830.0,560194.0,-734700.0,-5984526.0,0.0,-3418632.0,-169300.0,-1300600.0,-10387600.0,21055756.0,19392023.0,-1422395.0,-51472000.0,7400.0,-67412296.0,0.0
2006-03-08,5.337811470031738,9.497164726257324,2.8882906436920166,7.214277744293213,6.442798614501953,20.36412239074707,703.0745239257812,10.704453468322754,19.12894058227539,5.980655193328857,3.070638656616211,2896.052734375,11.163243293762209,4.63494873046875,2.4622366428375244,5.114621639251709,5.486806392669678,3.608945369720459,5.285470008850098,8.787261962890625,0.7304647564888,-0.0162513354869821,-0.0011909360018853752,0.014678997875021058,0.009320647147978887,-0.024280290637961336,0.004248068073574873,0.006800554512733024,0.02704988856093113,0.0028190852230646855,0.0,-0.004354985142394679,0.03163716593252118,-0.0034480632780921924,-0.005126550047525674,-0.01550455449021388,-0.015488129299339001,-0.014763853303927496,-0.0248938531571499,0.02296930571340906,-0.01940479511869229,0.0,5.522123455238945,10.040630637933539,2.889357960807599,7.530090707236488,6.861575267177655,20.866061316508087,686.7553439671312,11.001218606347585,19.48350502135952,5.980655193328857,3.1382308488958137,2922.876636693028,11.262475108655803,4.817951257992744,2.3989730103926745,5.245447725690478,5.762470562233162,3.864130067720746,5.264626462228687,9.068361816290405,0.7304647564888,8.484727541605631,20.69946225484213,9.049999872843424,8.864166577657064,17.12051264444987,22.253263473510742,1246.3039957682292,31.65333366394043,29.628888448079426,13.62082576751709,6.037918885548909,5733.333333333333,29.073333740234375,21.06999969482422,3.6426374117533364,12.195050557454428,11.122362772623697,10.84749984741211,23.463333129882812,14.589999834696451,1.1094670295715332,-216040.0,-6581.0,-2516400.0,-8105460.0,-1145040.0,-24743086.0,3657643.0,-298000.0,-1992189.0,0.0,-8073702.0,1160900.0,-1598600.0,-25015200.0,-19454202.0,4374261.0,-2341560.0,-86308400.0,84000.0,-93539970.0,0.0
2006-03-09,5.364953994750977,9.350008010864258,2.840942621231079,7.15951681137085,6.405028343200684,20.351333618164062,692.996826171875,10.425503730773926,19.31420135498047,5.980655193328857,3.045172452926636,2916.09423828125,11.35604476928711,4.510967254638672,2.3724684715271,5.098259449005127,5.448405742645264,3.496476173400879,5.245463848114014,8.521437644958496,0.7304647564888,0.00507206908295134,-0.01561610411666551,-0.016528948376659917,-0.007619588223990188,-0.005879652681562983,-0.000628202371148083,-0.01443747528059321,-0.026404780852242418,0.009638244822286928,0.0,-0.008328037089394379,0.006896447537643539,0.017123648496833222,-0.027113538171921157,-0.037139178995207876,-0.003204228876163778,-0.007023331124947914,-0.031659934587115385,-0.007597873794392901,-0.030718104343078742,0.0,5.504868798966343,9.955087443503874,2.884477640548036,7.484058974125478,6.804197450288805,20.79930672769639,687.8207791684837,10.932919915650272,19.463538007066756,5.980655193328857,3.1300818712689025,2920.9382854250193,11.2761752074066,4.7838007266474625,2.3983730069962728,5.23230103900961,5.722993095666488,3.8202799461581374,5.264423446712031,9.005077907599494,0.7304647564888,8.521279335021973,20.60785675048828,9.043333053588867,8.90833314259847,17.05512809753418,22.471064885457356,1246.824951171875,31.71666717529297,29.78999900817871,13.62082576751709,6.040564219156901,5850.0,29.316666920979817,21.071666717529297,3.5824520587921143,12.39260991414388,11.124635060628256,10.744999885559082,23.549999872843426,14.28499984741211,1.1094670295715332,-119136.0,-7582.0,-5661000.0,-10372328.0,-1445340.0,-34712710.0,1887175.0,-830400.0,270927.0,0.0,-12425616.0,1429700.0,-719900.0,-35464400.0,-30947725.0,-3107340.0,-2676362.0,-110812000.0,52700.0,-119555884.0,0.0
2006-03-10,5.352890968322754,9.820903778076172,2.956158399581909,7.193995475769043,6.377427101135254,20.431264877319336,695.571044921875,10.805283546447754,19.60285186767578,5.980655193328857,3.0639376640319824,2956.17822265625,11.394608497619627,4.581891059875488,2.4622366428375244,5.225209712982178,5.479127407073975,3.576693296432495,5.309919834136963,8.696638107299805,0.7304647564888,-0.002251018103635364,0.04913595248162054,0.03975468144804996,0.00480422213378461,-0.004318620171788908,0.003919875851572327,0.003707736226130396,0.03578014574989005,0.014834412276213148,0.0,0.006143372689064426,0.013652161821809006,0.0033901237748474836,0.015600208680480947,0.037139178995207967,0.02459573653067812,0.005622814399041046,0.02268305963686807,0.012213063805816542,0.02035146225326319,0.0,5.487570222622961,9.929621419179863,2.892988581575151,7.445600762346275,6.748295176825057,20.746991504597304,689.0850762680512,10.912942810753695,19.4777813090874,5.980655193328857,3.124619812292801,2923.7149511286425,11.293089519707245,4.760297372720586,2.4079059218685193,5.234431785299905,5.690153067923192,3.7889568882593294,5.271471213668216,8.966543773707437,0.7304647564888,8.46088949839274,21.332371393839523,9.218888600667318,8.880000114440918,16.86153793334961,22.397293090820312,1242.1688639322917,31.8700008392334,30.228888193766277,13.62082576751709,6.036155064900716,5863.333333333333,29.38333257039388,21.054166793823242,3.607927401860555,12.434117635091146,11.10840638478597,10.734999974568685,23.81999969482422,14.293333371480307,1.1094670295715332,-1048325.0,-6448.0,-2210400.0,-8963372.0,-1769560.0,-28982295.0,2519134.0,-578500.0,1785039.0,0.0,-7725186.0,1657200.0,-366300.0,-28360800.0,-17014184.0,6472891.0,-2569554.0,-88785600.0,76400.0,-98005440.0,0.0
2006-03-13,5.458439826965332,9.689597129821776,3.019815444946289,7.256870269775391,6.355637073516846,20.6806640625,696.6663208007812,10.882585525512695,19.486534118652344,5.980655193328857,3.0867221355438232,2916.09423828125,11.760931968688965,4.617624759674072,2.3724684715271,5.219319820404053,5.508410453796387,3.5824811458587646,5.218788146972656,8.78424072265625,0.7304647564888,0.019526220074062867,-0.013460303390186619,0.02130513113871229,0.00870192718850974,-0.0034225931151342106,0.01213284080909938,0.0015734042654331319,0.007128621642294057,-0.005951390097857991,0.0,0.007408823272763287,-0.013652161821808912,0.03164288364429521,0.007768643527657153,-0.037139178995207876,-0.0011278427015100696,0.005330241665492736,0.001616904500342729,-0.01731151880067207,0.010022762534581864,0.0,5.483549264248084,9.891556471632976,2.908028578760467,7.417383509801888,6.694463573900268,20.727223551050354,690.3647626489949,10.903403679137453,19.477807024385612,5.980655193328857,3.1221005447977284,2921.7764773505287,11.350025512012154,4.7426707867839335,2.406485118698644,5.235649046874253,5.663309982988841,3.760815023034947,5.267614003816986,8.940997630323295,0.7304647564888,8.616631189982096,21.520578384399414,9.508332888285318,8.914166768391928,16.73076883951823,22.761468251546223,1242.8200276692708,32.43000030517578,30.28000005086263,13.62082576751709,6.104938348134358,5863.333333333333,30.31666628519694,21.366666793823242,3.5569770336151123,12.616439501444498,11.17591667175293,10.883333524068197,23.60333315531413,14.520000139872232,1.1094670295715332,-1007844.0,-7677.0,2977200.0,-8006972.0,-2186860.0,-19315979.0,2805373.0,-401400.0,-4204821.0,0.0,-3942540.0,1377400.0,303800.0,-20207200.0,-18625161.0,1226952.0,-2461719.0,-75742800.0,9500.0,-87077756.0,0.0
