Date,AMXB.MX,AXIA3.SA,BBAS3.SA,BIMBOA.MX,BSAC,CEMEXCPO.MX,CENCOSUD.SN,CIB,FEMSAUBD.MX,GCARSOA1.MX,GGB,ISA.CL,PAC,PBR,RENT3.SA,SCCO,SQM,VALE,VIV,WALMEX.MX,WEGE3.SA
2006-02-27,5.503676891326904,10.253314971923828,2.870403528213501,7.648308277130127,7.029696464538574,21.118701934814453,676.2373657226562,11.087594985961914,19.49945640563965,5.980655193328857,3.0639376640319824,2956.17822265625,11.163243293762209,4.79628849029541,2.327582836151123,5.135560035705566,5.878037929534912,3.9289870262146,5.203233242034912,9.107455253601074,0.7304647564888
2006-02-28,5.458439826965332,10.253314971923828,2.870403528213501,7.526618480682373,6.898953437805176,20.75100517272949,674.0465698242188,11.027107238769531,19.467140197753903,5.980655193328857,3.057236433029175,2971.20947265625,11.105401992797852,4.739439010620117,2.327582836151123,5.212121486663818,5.866036415100098,3.8396730422973633,5.225457668304443,9.05610466003418,0.7304647564888
2006-03-01,5.61827278137207,10.459331512451172,2.9551055431365967,7.719295024871826,6.973041534423828,21.01319122314453,679.1400146484375,11.17498016357422,19.73210334777832,5.980655193328857,3.204669952392578,3011.2919921875,11.529563903808594,4.991732597351074,2.41735315322876,5.284102916717529,5.806032657623291,3.969508171081543,5.347700595855713,9.131621360778809,0.7304647564888
2006-03-02,5.612241744995117,10.187662124633787,2.9214348793029785,7.72740888595581,6.9585137367248535,20.882099151611328,678.0447998046875,11.49763011932373,19.81612205505371,5.980655193328857,3.333337545394897,2981.23046875,11.683807373046877,5.020427227020264,2.400682210922241,5.491541385650635,5.806032657623291,3.9662017822265625,5.427720546722412,9.22526741027832,0.7304647564888
2006-03-03,5.609225749969482,10.119744300842283,2.946688652038574,7.646283149719238,6.928007125854492,21.06435203552246,695.571044921875,11.420328140258787,19.757959365844727,5.980655193328857,3.3467416763305664,2916.09423828125,11.433164596557615,5.025842666625977,2.426971435546875,5.592970848083496,5.7753095626831055,3.961239814758301,5.367710113525391,9.216203689575195,0.7304647564888
2006-03-06,5.729854106903076,9.75751781463623,2.893552541732788,7.4394073486328125,6.727531909942627,20.885297775268555,710.0850830078125,10.687651634216309,19.566234588623047,5.980655193328857,3.214051485061645,2805.864013671875,11.221081733703612,4.848261833190918,2.5007100105285645,5.346924304962158,5.692263603210449,3.850423574447632,5.316587448120117,9.05610466003418,0.7304647564888
2006-03-07,5.425266742706299,9.508481979370115,2.846203088760376,7.147348403930664,6.601146221160889,20.27779769897461,698.3094482421875,10.418780326843262,19.075090408325195,5.980655193328857,3.084040403366089,2805.864013671875,11.201801300048828,4.65877103805542,2.5007100105285645,5.194454193115234,5.568413734436035,3.699913501739502,5.165450096130371,8.959442138671875,0.7304647564888
2006-03-08,5.337811470031738,9.497164726257324,2.8882906436920166,7.214277744293213,6.442798614501953,20.36412239074707,703.0745239257812,10.704453468322754,19.12894058227539,5.980655193328857,3.070638656616211,2896.052734375,11.163243293762209,4.63494873046875,2.4622366428375244,5.114621639251709,5.486806392669678,3.608945369720459,5.285470008850098,8.787261962890625,0.7304647564888
2006-03-09,5.364953994750977,9.350008010864258,2.840942621231079,7.15951681137085,6.405028343200684,20.351333618164062,692.996826171875,10.425503730773926,19.31420135498047,5.980655193328857,3.045172452926636,2916.09423828125,11.35604476928711,4.510967254638672,2.3724684715271,5.098259449005127,5.448405742645264,3.496476173400879,5.245463848114014,8.521437644958496,0.7304647564888
2006-03-10,5.352890968322754,9.820903778076172,2.956158399581909,7.193995475769043,6.377427101135254,20.431264877319336,695.571044921875,10.805283546447754,19.60285186767578,5.980655193328857,3.0639376640319824,2956.17822265625,11.394608497619627,4.581891059875488,2.4622366428375244,5.225209712982178,5.479127407073975,3.576693296432495,5.309919834136963,8.696638107299805,0.7304647564888
2006-03-13,5.458439826965332,9.689597129821776,3.019815444946289,7.256870269775391,6.355637073516846,20.6806640625,696.6663208007812,10.882585525512695,19.486534118652344,5.980655193328857,3.0867221355438232,2916.09423828125,11.760931968688965,4.617624759674072,2.3724684715271,5.219319820404053,5.508410453796387,3.5824811458587646,5.218788146972656,8.78424072265625,0.7304647564888
2006-03-14,5.563990116119385,10.30085563659668,3.045595407485962,7.331912040710449,6.473308086395264,20.744611740112305,690.3678588867188,11.101223945617676,19.436988830566406,5.980655193328857,3.1671407222747803,2886.031005859375,11.838048934936523,4.783291816711426,2.3404088020324707,5.3344902992248535,5.630819797515869,3.6502935886383057,5.336589336395264,8.850698471069336,0.7304647564888
2006-03-15,5.64541482925415,10.461593627929688,3.0655879974365234,7.299460411071777,6.566280841827393,21.617494583129883,687.3006591796875,11.280603408813477,20.55499649047852,5.980655193328857,3.2877678871154785,2936.13525390625,12.397171974182127,4.901320457458496,2.3404088020324707,5.333178997039795,5.704262733459473,3.7305116653442383,5.469951629638672,8.823508262634277,0.7304647564888
2006-03-16,5.654460906982422,10.613279342651367,3.066113233566284,7.402897834777832,6.452969551086426,22.34970092773437,690.2583618164062,11.338142395019531,20.884580612182617,5.980655193328857,3.2824063301086426,2956.17822265625,12.60540008544922,4.893197059631348,2.3404088020324707,5.33383846282959,5.698501110076904,3.721414566040039,5.552186965942383,8.97152328491211,0.7304647564888
2006-03-17,5.68763542175293,10.862310409545898,3.0461225509643555,7.62600040435791,6.442798614501953,22.34650039672852,688.8890991210938,11.409217834472656,21.04183959960937,5.980655193328857,3.248899221420288,3056.3876953125,12.667101860046388,4.785458087921143,2.295523166656494,5.489577293395996,5.626018047332764,3.714799165725708,5.418830871582031,9.004753112792969,0.7304647564888
2006-03-20,5.693174839019775,11.15888500213623,3.0145533084869385,7.609772682189941,6.42246150970459,22.493581771850582,697.4879760742188,11.189216613769531,21.37141990661621,5.980655193328857,3.2127106189727783,3056.3876953125,12.7827787399292,4.7508087158203125,2.295523166656494,5.416943550109863,5.700423240661621,3.713145256042481,5.343259334564209,9.11349868774414,0.7304647564888
2006-03-21,5.693174839019775,11.161148071289062,2.925119400024414,7.609772682189941,6.261210918426514,22.493581771850582,700.1715698242188,11.118145942687988,21.37141990661621,5.675827026367188,3.0880634784698486,3046.3662109375,13.033424377441406,4.677177429199219,2.205754280090332,5.276251792907715,5.621217250823975,3.651122331619263,5.234346866607666,9.11349868774414,0.7304647564888
2006-03-22,5.735435962677002,11.647892951965332,3.04138731956482,7.569209575653076,6.307697772979736,22.81651306152344,701.0479736328125,11.277220726013184,20.96859169006348,5.675827026367188,3.125591516494751,3011.2919921875,13.110544204711914,4.60788106918335,2.308346748352051,5.339725017547607,5.641378879547119,3.6569104194641113,5.383267879486084,9.189017295837402,0.7304647564888
2006-03-23,5.720342636108398,11.885605812072754,2.9046006202697754,7.411013603210449,6.365805625915527,22.525554656982425,703.7864990234375,11.412602424621582,21.026756286621094,5.675827026367188,3.1028053760528564,3016.304443359375,13.110544204711914,4.618165969848633,2.301935911178589,5.215392112731934,5.602017402648926,3.638716220855713,5.243239402770996,8.947360038757324,0.7304647564888
2006-03-24,5.524129867553711,11.772406578063965,2.9298534393310547,7.481997013092041,6.399218559265137,22.67902565002441,714.7402954101562,11.43967342376709,21.03106117248535,5.675827026367188,3.13497281074524,3051.376953125,12.56684112548828,4.642530918121338,2.41735315322876,5.189216613769531,5.623617649078369,3.744570016860962,5.1121039390563965,8.956421852111816,0.7304647564888
2006-03-27,5.524129867553711,11.206425666809082,2.790961980819702,7.244702339172363,6.319317817687988,22.73658561706543,708.4963989257812,11.19260597229004,21.261568069458008,5.675827026367188,3.093424081802368,3026.3251953125,11.915173530578612,4.616542816162109,2.455824613571167,5.300463676452637,5.537212371826172,3.790880680084229,5.369930267333984,8.787261962890625,0.7304647564888
2006-03-28,5.524129867553711,10.527249336242676,2.609457969665528,7.17979907989502,6.330941200256348,21.969207763671875,715.1782836914062,11.520907402038574,21.68377494812012,5.675827026367188,2.9433090686798096,3021.315185546875,12.489720344543455,4.476860046386719,2.3724684715271,5.290647029876709,5.455605030059815,3.726377487182617,5.418830871582031,8.560708999633789,0.7304647564888
2006-03-29,5.569409370422363,11.204164505004885,2.672588348388672,7.218335151672363,6.341108798980713,22.33691024780273,729.4185791015625,11.561518669128418,21.69670295715332,5.675827026367188,2.990219593048096,3046.3662109375,12.609256744384766,4.608420848846436,2.3718278408050537,5.428066730499268,5.49400806427002,3.8487706184387207,5.352148056030273,8.67247486114502,0.7937714457511902
2006-03-30,5.569409370422363,11.03663444519043,2.688371181488037,7.28120756149292,6.304791450500488,22.579906463623047,725.6939697265625,11.703672409057615,21.54159927368164,5.675827026367188,2.984858989715576,3031.33447265625,12.33547592163086,4.67555570602417,2.359644651412964,5.529494285583496,5.532411575317383,3.991011619567871,5.5321807861328125,8.70570182800293,0.7937714457511902
2006-03-31,5.584504127502441,11.03663444519043,2.919856309890747,7.246728897094727,6.333846092224121,22.66943359375,731.280517578125,11.811976432800291,21.42312240600586,5.675827026367188,3.018366575241089,3046.3662109375,12.320055961608888,4.692337989807129,2.359644651412964,5.528187274932861,5.448405742645264,4.013339042663574,5.4899516105651855,8.687579154968262,0.7937714457511902
2006-04-03,5.765621662139893,11.206425666809082,2.9014430046081543,7.360305309295654,6.390502452850342,22.83570098876953,739.3863525390625,12.11658000946045,21.78932380676269,5.675827026367188,3.121570587158203,3061.473388671875,12.223657608032228,4.840141773223877,2.3532326221466064,5.601476192474365,5.395603179931641,4.074535846710205,5.563300609588623,8.950379371643066,0.7937714457511902
2006-04-04,5.7173261642456055,11.383012771606444,2.883030891418457,7.595576763153076,6.566280841827393,23.36326789855957,733.9095458984375,12.15719223022461,21.9358139038086,5.675827026367188,3.222092628479004,3086.64794921875,12.107972145080566,4.847539901733398,2.3404088020324707,5.692436218261719,5.477206707000732,4.04807186126709,5.587750911712647,9.053080558776855,0.7937714457511902
2006-04-05,5.780714511871338,11.97389793395996,2.788332223892212,7.43332052230835,6.518341541290283,23.83328437805176,739.3863525390625,11.788281440734863,21.86257553100586,5.675827026367188,3.263641834259033,3111.82568359375,11.953728675842283,4.939077377319336,2.4301772117614746,5.954840660095215,5.5156097412109375,4.089420795440674,5.478840827941895,9.095372200012209,0.7937714457511902
