Date,ABEV,AC.MX,AMXB.MX,AXIA3.SA,BAP,BBAS3.SA,BBD,BIMBOA.MX,BSAC,CEMEXCPO.MX,CENCOSUD.SN,CIB,FALABELLA.SN,FEMSAUBD.MX,GCARSOA1.MX,GFNORTEO.MX,GGB,GMEXICOB.MX,ISA.CL,ITSA4.SA,ITUB,PAC,PBR,RENT3.SA,SBSP3.SA,SCCO,SQM,VALE,VIV,WALMEX.MX,WEGE3.SA
2006-02-27,0.6879241466522217,10.935449600219728,5.503676891326904,10.253314971923828,14.071453094482422,2.870403528213501,2.929619789123535,7.648308277130127,7.029696464538574,21.118701934814453,676.2373657226562,11.087594985961914,1165.286376953125,19.49945640563965,5.980655193328857,12.364733695983888,3.0639376640319824,3.968843698501587,2956.17822265625,1.349346160888672,1.8472998142242432,11.163243293762209,4.79628849029541,2.327582836151123,0.6332278847694397,5.135560035705566,5.878037929534912,3.9289870262146,5.203233242034912,9.107455253601074,0.7304647564888
2006-02-28,0.6816235780715942,10.935449600219728,5.458439826965332,10.253314971923828,13.945646286010742,2.870403528213501,2.908573865890503,7.526618480682373,6.898953437805176,20.75100517272949,674.0465698242188,11.027107238769531,1186.7935791015625,19.467140197753903,5.980655193328857,12.35508632659912,3.057236433029175,3.851184606552124,2971.20947265625,1.349346160888672,1.8338297605514529,11.105401992797852,4.739439010620117,2.327582836151123,0.6332278847694397,5.212121486663818,5.866036415100098,3.8396730422973633,5.225457668304443,9.05610466003418,0.7304647564888
2006-03-01,0.6997619271278381,10.935449600219728,5.61827278137207,10.459331512451172,13.964282989501951,2.9551055431365967,3.020819664001465,7.719295024871826,6.973041534423828,21.01319122314453,679.1400146484375,11.17498016357422,1184.8380126953125,19.73210334777832,5.980655193328857,12.639719009399414,3.204669952392578,4.0793280601501465,3011.2919921875,1.3741989135742188,1.8776142597198489,11.529563903808594,4.991732597351074,2.41735315322876,0.6547468304634094,5.284102916717529,5.806032657623291,3.969508171081543,5.347700595855713,9.131621360778809,0.7304647564888
2006-03-02,0.7075899839401245,10.935449600219728,5.612241744995117,10.187662124633787,13.689379692077637,2.9214348793029785,3.025960683822632,7.72740888595581,6.9585137367248535,20.882099151611328,678.0447998046875,11.49763011932373,1197.6641845703125,19.81612205505371,5.980655193328857,12.591476440429688,3.333337545394897,4.19268274307251,2981.23046875,1.3961282968521118,1.8720026016235352,11.683807373046877,5.020427227020264,2.400682210922241,0.6557615995407104,5.491541385650635,5.806032657623291,3.9662017822265625,5.427720546722412,9.22526741027832,0.7304647564888
2006-03-03,0.7150365114212036,10.935449600219728,5.609225749969482,10.119744300842283,13.372538566589355,2.946688652038574,2.997787952423096,7.646283149719238,6.928007125854492,21.06435203552246,695.571044921875,11.420328140258787,1212.2110595703125,19.757959365844727,5.980655193328857,12.572179794311523,3.3467416763305664,4.31751823425293,2916.09423828125,1.3888179063796997,1.8635798692703247,11.433164596557615,5.025842666625977,2.426971435546875,0.6508998274803162,5.592970848083496,5.7753095626831055,3.961239814758301,5.367710113525391,9.216203689575195,0.7304647564888
2006-03-06,0.7054901123046875,10.935449600219728,5.729854106903076,9.75751781463623,13.25605297088623,2.893552541732788,2.8702971935272217,7.4394073486328125,6.727531909942627,20.885297775268555,710.0850830078125,10.687651634216309,1204.233642578125,19.566234588623047,5.980655193328857,12.234475135803224,3.214051485061645,4.218512058258057,2805.864013671875,1.368351936340332,1.8093472719192505,11.221081733703612,4.848261833190918,2.5007100105285645,0.6463760733604431,5.346924304962158,5.692263603210449,3.850423574447632,5.316587448120117,9.05610466003418,0.7304647564888
2006-03-07,0.6854422092437744,10.935449600219728,5.425266742706299,9.508481979370115,12.608393669128418,2.846203088760376,2.7498488426208496,7.147348403930664,6.601146221160889,20.27779769897461,698.3094482421875,10.418780326843262,1180.927978515625,19.075090408325195,5.980655193328857,11.819584846496582,3.084040403366089,4.076460361480713,2805.864013671875,1.3332654237747192,1.7491475343704224,11.201801300048828,4.65877103805542,2.5007100105285645,0.6287041902542114,5.194454193115234,5.568413734436035,3.699913501739502,5.165450096130371,8.959442138671875,0.7304647564888
2006-03-08,0.6795234084129333,10.935449600219728,5.337811470031738,9.497164726257324,12.491907119750977,2.8882906436920166,2.6751866340637207,7.214277744293213,6.442798614501953,20.36412239074707,703.0745239257812,10.704453468322754,1173.107177734375,19.12894058227539,5.980655193328857,11.390223503112791,3.070638656616211,4.075024604797363,2896.052734375,1.3230329751968384,1.71053147315979,11.163243293762209,4.63494873046875,2.4622366428375244,0.6238425970077515,5.114621639251709,5.486806392669678,3.608945369720459,5.285470008850098,8.787261962890625,0.7304647564888
2006-03-09,0.6720770597457886,10.935449600219728,5.364953994750977,9.350008010864258,12.804089546203612,2.840942621231079,2.587141275405884,7.15951681137085,6.405028343200684,20.351333618164062,692.996826171875,10.425503730773926,1180.927978515625,19.31420135498047,5.980655193328857,11.390223503112791,3.045172452926636,3.998977899551392,2916.09423828125,1.2718652486801147,1.6707791090011597,11.35604476928711,4.510967254638672,2.3724684715271,0.6350878477096558,5.098259449005127,5.448405742645264,3.496476173400879,5.245463848114014,8.521437644958496,0.7304647564888
2006-03-10,0.6877331733703613,10.935449600219728,5.352890968322754,9.820903778076172,12.813406944274902,2.956158399581909,2.682934045791626,7.193995475769043,6.377427101135254,20.431264877319336,695.571044921875,10.805283546447754,1184.9163818359375,19.60285186767578,5.980655193328857,11.366098403930664,3.0639376640319824,4.130984783172607,2956.17822265625,1.3171839714050293,1.728136420249939,11.394608497619627,4.581891059875488,2.4622366428375244,0.6354689598083496,5.225209712982178,5.479127407073975,3.576693296432495,5.309919834136963,8.696638107299805,0.7304647564888
