fullset0 -- avg val RS: -0.40008, avg train RS: 0.46098, avg val RS change: -0.00018, avg train RS change: 0.00074, epoch: 500
fullset1 -- avg val RS: -0.45951, avg train RS: 0.40019, avg val RS change: -0.00013, avg train RS change: 0.00072, epoch: 252
fullset2 -- avg val RS: -0.23115, avg train RS: 0.36541, avg val RS change: -3e-05, avg train RS change: 0.00024, epoch: 500
fullset3 -- avg val RS: -0.41628, avg train RS: 0.31624, avg val RS change: 0.00036, avg train RS change: 0.00027, epoch: 500
fullset4 -- avg val RS: -0.30157, avg train RS: 0.35577, avg val RS change: 0.00035, avg train RS change: 0.00015, epoch: 500
fullset5 -- avg val RS: -0.46069, avg train RS: 0.42452, avg val RS change: 0.00077, avg train RS change: 0.00022, epoch: 500
fullset6 -- avg val RS: -0.42091, avg train RS: 0.41612, avg val RS change: -1e-05, avg train RS change: 0.00012, epoch: 500
fullset7 -- avg val RS: -0.56706, avg train RS: 0.38685, avg val RS change: 3e-05, avg train RS change: 5e-05, epoch: 500
fullset8 -- avg val RS: -0.41309, avg train RS: 0.37869, avg val RS change: -0.00031, avg train RS change: -6e-05, epoch: 500
fullset9 -- avg val RS: -0.34359, avg train RS: 0.30208, avg val RS change: 3e-05, avg train RS change: 0.0, epoch: 500
fullset10 -- avg val RS: -0.28127, avg train RS: 0.31675, avg val RS change: -0.0006, avg train RS change: 4e-05, epoch: 500
fullset11 -- avg val RS: -0.34157, avg train RS: 0.317, avg val RS change: -8e-05, avg train RS change: -0.0, epoch: 500
fullset12 -- avg val RS: -0.3422, avg train RS: 0.29835, avg val RS change: 7e-05, avg train RS change: 2e-05, epoch: 500
fullset13 -- avg val RS: -0.27446, avg train RS: 0.33066, avg val RS change: 0.00011, avg train RS change: 5e-05, epoch: 500
fullset14 -- avg val RS: -0.33694, avg train RS: 0.32484, avg val RS change: -0.00011, avg train RS change: 7e-05, epoch: 500
fullset15 -- avg val RS: -0.38694, avg train RS: 0.2962, avg val RS change: -0.00013, avg train RS change: -3e-05, epoch: 500
fullset16 -- avg val RS: -0.62358, avg train RS: 0.28966, avg val RS change: -0.00034, avg train RS change: -1e-05, epoch: 500
fullset17 -- avg val RS: -0.62396, avg train RS: 0.24459, avg val RS change: -7e-05, avg train RS change: -5e-05, epoch: 500
fullset18 -- avg val RS: -0.37096, avg train RS: 0.27386, avg val RS change: 0.00052, avg train RS change: 2e-05, epoch: 500
fullset19 -- avg val RS: -0.55939, avg train RS: 0.28623, avg val RS change: -0.00047, avg train RS change: 6e-05, epoch: 500
fullset20 -- avg val RS: -0.4139, avg train RS: 0.2996, avg val RS change: -0.00011, avg train RS change: 8e-05, epoch: 500
fullset21 -- avg val RS: -0.23839, avg train RS: 0.28014, avg val RS change: 2e-05, avg train RS change: -1e-05, epoch: 500
fullset22 -- avg val RS: -0.25841, avg train RS: 0.2756, avg val RS change: -0.00014, avg train RS change: -3e-05, epoch: 500
fullset23 -- avg val RS: -0.22789, avg train RS: 0.25417, avg val RS change: -7e-05, avg train RS change: -1e-05, epoch: 500
